date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:37:40	578/578	---MCZ	200	added ('OK')	text/plain	etag:W/%226504578b-632%22	https://www.dutchbros.com/robots.txt		(from )
02:37:40	104576/-1	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2000:30:28%20GMT	https://www.dutchbros.com/	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/index.html	(from )
02:37:40	91308/91308	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Sep%202023%2006:37:40%20GMT	https://www.dutchbros.com/e,r.href	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/e,r.href	(from https://www.dutchbros.com/)
02:37:40	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%2264878b41-3aee%22	https://www.dutchbros.com/themes/custom/dutchbros/favicon.ico	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/themes/custom/dutchbros/favicon.ico	(from https://www.dutchbros.com/)
02:37:41	2241/2241	---M--	200	added ('OK')	image/png	etag:%2264c7e458-8c1%22	https://www.dutchbros.com/themes/custom/dutchbros/favicon/apple-touch-icon.png	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/themes/custom/dutchbros/favicon/apple-touch-icon.png	(from https://www.dutchbros.com/)
02:37:41	1054/1054	---M--	200	added ('OK')	image/png	etag:%2264878b45-41e%22	https://www.dutchbros.com/themes/custom/dutchbros/favicon/favicon-32x32.png	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/themes/custom/dutchbros/favicon/favicon-32x32.png	(from https://www.dutchbros.com/)
02:37:41	646/646	---M--	200	added ('OK')	image/png	etag:%2264dc06e7-286%22	https://www.dutchbros.com/themes/custom/dutchbros/favicon/favicon-16x16.png	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/themes/custom/dutchbros/favicon/favicon-16x16.png	(from https://www.dutchbros.com/)
02:37:41	458/458	---M-Z	200	added ('OK')	text/plain	etag:W/%226508f279-1ca%22	https://www.dutchbros.com/themes/custom/dutchbros/favicon/site.webmanifest	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/themes/custom/dutchbros/favicon/site.webmanifest	(from https://www.dutchbros.com/)
02:37:41	3837/3837	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265071e97-efd%22	https://www.dutchbros.com/themes/custom/dutchbros/favicon/safari-pinned-tab.svg	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/themes/custom/dutchbros/favicon/safari-pinned-tab.svg	(from https://www.dutchbros.com/)
02:37:42	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%2264878b45-3aee%22	https://www.dutchbros.com/themes/custom/dutchbros/favicon/favicon.ico	C:/Users/Drew/Desktop/DutchBros/DutchBros/www.dutchbros.com/themes/custom/dutchbros/favicon/favicon.ico	(from https://www.dutchbros.com/)
